Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE
ySigma[2,2,1,4]	0.22742705496	0.2247885	0.215369296309926	23774.8	0.95	0.163241	0.293735	NA	NA	NA	NA	NA	NA	NA
ySigma[1,1,2,4]	0.2326078849	0.2296195	0.221587063486378	24763.7	0.95	0.17006	0.301672	NA	NA	NA	NA	NA	NA	NA
ySigma[2,1,2,4]	0.41993912732	0.4154945	0.410276072724687	23900.8	0.95	0.315843	0.53684	NA	NA	NA	NA	NA	NA	NA
ySigma[1,2,2,4]	0.24355684332	0.2405865	0.234394681515659	25742.1	0.95	0.177968	0.315447	NA	NA	NA	NA	NA	NA	NA
ySigma[2,2,2,4]	0.28323410672	0.2793075	0.275982911926401	21393.9	0.95	0.202084	0.370591	NA	NA	NA	NA	NA	NA	NA
ySigma[1,1,3,4]	0.39507072698	0.3907375	0.381086414089851	23820.6	0.95	0.293658	0.49993	NA	NA	NA	NA	NA	NA	NA
ySigma[2,1,3,4]	0.40596885852	0.4015785	0.394496939215018	23994.7	0.95	0.302419	0.518539	NA	NA	NA	NA	NA	NA	NA
ySigma[1,2,3,4]	0.34508776052	0.340993	0.335612408003477	22602.2	0.95	0.248671	0.453135	NA	NA	NA	NA	NA	NA	NA
ySigma[2,2,3,4]	0.29113397024	0.2875795	0.282841568930106	25964	0.95	0.214175	0.376609	NA	NA	NA	NA	NA	NA	NA
sigmaMode	0.177114366044	0.1773675	0.177854664811443	17847	0.95	0.147028	0.206538	NA	NA	NA	NA	NA	NA	NA
sigmaSD	0.094236731002	0.09289995	0.0886053076339375	15678.6	0.95	0.0693903	0.121213	NA	NA	NA	NA	NA	NA	NA
nu	5.5441382272	5.450855	5.27527764565873	8761.5	0.95	4.08674	7.15767	NA	NA	NA	NA	NA	NA	NA
